type,original_title,title,overview,release_date,popularity,vote_average,genres,ott_platforms
movie,Paddington in Peru,패딩턴: 페루에 가다!,영국 국민으로 거듭난 ‘패딩턴’에게 어느 날 고향인 페루에서 날아온 의문의 편지 한 통. “루시 숙모님이 사라졌어요!” 지도 한 장만 남긴 채 감쪽같이 사라져 버린 ‘루시’ 숙모를 찾아 떠난 ‘패딩턴’과 브라운 가족은 페루의 정글을 둘러싼 비밀을 찾아 모험을 떠나게 되는데…,2024-11-08,535.162,6.9,"가족, 모험, 코미디",
movie,Alarum,알라룸,"조(스콧 이스트우드)와 로라(윌라 피츠제럴드)는 임무 중 만나 사랑에 빠진 정부 스파이 커플이다. 그들은 각자의 기관을 떠나 결혼한다. 영화는 이들의 첫 만남 5년 후, 폴란드의 한 리조트에서 휴가를 보내던 중 시작된다. 근처 숲에서 비행기 추락 사고가 발생하고, 조는 사고 현장을 조사하다 미스터리한 플래시 드라이브를 발견한다. 이 플래시 드라이브를 둘러싸고 여러 집단이 조를 공격하기 시작한다. 한 집단은 오린(마이크 콜터)이 이끄는 용병들이고, 다른 한 집단은 조의 전 소속 기관이다. 그들은 조가 글로벌 정보망을 무너뜨리려는 비밀 조직 'Alarum'에 가입했다고 의심한다. 조와 로라는 서로 헤어지게 되고, 로라가 실제로 Alarum의 일원임이 밝혀진다. 두 사람은 수많은 킬러들과 싸우며 재회를 시도합니다. 이 과정에서 체스터(실베스터 스탤론)라는 옛 동료가 등장하여 조를 제거하려 하지만, 결국 그와 함께 행동하며 폭발적인 액션을 펼치게 되는데...",2025-01-16,448.696,5.801,"액션, 범죄, 스릴러",
movie,Venom: The Last Dance,베놈: 라스트 댄스,환상의 케미스트리의 에디 브록과 그의 심비오트 베놈은 그들을 노리는 정체불명 존재의 추격을 피해 같이 도망을 다니게 된다. 한편 베놈의 창조자 널은 고향 행성에서부터 그들을 찾아내기 위해 지구를 침략하고 에디와 베놈은 그동안 겪어보지 못한 최악의 위기를 맞이하게 되는데…,2024-10-22,427.404,6.8,"액션, SF, 모험",wavve
movie,Gladiator II,글래디에이터 II,"로마의 영웅이자 최고의 검투사였던 막시무스가 콜로세움에서 죽음을 맞이한 뒤 20여 년이 흐른 후. 쌍둥이 황제 게타와 카라칼라의 폭압 아래 시민을 위한 자유로운 나라 로마의 꿈은 잊힌 지 오래다. 한편 아카시우스 장군이 이끄는 로마군에 대패한 후 모든 것을 잃고 노예로 전락한 루시우스는 강한 권력욕을 지닌 마크리누스의 눈에 띄어 검투사로 발탁된다. 로마를 향한 걷잡을 수 없는 분노, 타고난 투사의 기질로 콜로세움에 입성하게 된 루시우스는 결투를 거듭하며 자신이 진짜 누구인지 알게 되고 마침내 로마의 운명을 건 결전을 준비하게 되는데...!",2024-11-05,385.487,6.762,"액션, 모험, 드라마",
movie,Sniper: The Last Stand,스나이퍼: 최후의 전쟁,치명적인 불법 무기를 제거하라. 적지에 침투한 전설적인 저격수 베켓과 전우들은 막강한 화력의 민병대에 맞서 인류를 구하기 위해 모든 어려움을 극복하고 살아남아야 한다.,2025-01-21,385.068,6.7,"액션, 스릴러",
movie,Back in Action,백 인 액션,평범한 가정을 꾸리기 위해 CIA를 떠났던 두 엘리트 첩보 요원 맷과 에밀리. 그런데 15년 만에 신분이 들통나면서 다시 스파이의 세계로 뛰어들게 된다.,2025-01-15,384.424,6.5,"액션, 코미디","Netflix, Netflix basic with Ads"
movie,దేవర: Part 1,데바라,전사의 후예들이 밀수꾼으로 전락하고 말았다. 마을의 명예를 회복하려는 리더의 핏빛 대장정을 그린 영화.,2024-09-26,338.707,7.127,"액션, 드라마","Netflix, Netflix basic with Ads"
movie,Companion,컴패니언,"""기술과 인간, 그 사이의 어둠 속에서 펼쳐지는 스릴러"" 아이리스와 조쉬는 완벽한 커플처럼 보인다. 하지만 친구들과 함께 한적한 시골 별장에서 보내는 주말, 그들의 관계에 숨겨진 비밀이 드러나기 시작한다. 웃음과 즐거움이 가득할 것 같았던 시간은 점점 긴장감으로 가득 차고, 진실이 밝혀지면서 모든 것이 뒤집히는데...",2025-01-22,735.734,7.038,"공포, SF, 스릴러",
movie,Wolf Man,울프맨,"세상을 떠난 아버지의 짐을 정리하기 위해 사랑하는 아내 ‘샬롯’, 딸 ‘진저’와 함께 어릴 적 고향 집을 방문하기로 한 ‘블레이크’. 늦은 밤, 깊은 숲 속에 위치한 고향 집에 다다를 무렵 정체 모를 존재와 맞닥뜨린 ‘블레이크’는 가족을 지키려다 공격을 당한다. 가까스로 몸을 숨긴 이들에게 위협은 계속되고 설상가상으로 ‘블레이크’가 원인 모를 병에 감염돼 변하기 시작하면서 모두를 위험에 빠트리는데…",2025-01-15,312.331,6.6,"공포, 스릴러",
movie,Elevation,엘리베이션,한 명의 싱글파더와 두 명의 여성이 어린 소년의 생명을 구하기 위해 집이라는 안전한 공간을 떠나 괴물 같은 생명체들과 맞서게 된다.,2024-11-07,301.69,6.446,"액션, SF, 스릴러",
movie,Le Jardinier,Le Jardinier,,2025-01-30,301.469,6.3,"액션, 코미디",
movie,俺だけレベルアップな件 -ReAwakening-,나 혼자만 레벨업 -리어웨이크닝-,"다른 차원과 이쪽 세계를 이어 주는 통로인 '게이트가' 갑자기 발생한 지 10여 년. 세계에는 '헌터'라고 불리는 초인적인 힘에 각성한 사람들이 출현했다. 헌터는 그 힘을 사용해 게이트 안의 던전을 공략하고 대가를 받는 것을 생업으로 하고 있는데 강자들만 모인 헌터들 중 '성진우'는 인류 최약병기라 불리는 저랭크 헌터로서 생활하고 있었다. 어느 날, 저랭크 던전에 숨겨진 고랭크 이중 던전에서 빈사의 중상을 입은 성진우의 눈앞에 수수께끼의 퀘스트창이 나타났다. 죽음의 순간, 퀘스트를 수락하기로 결심한 성진우는 자신만 '레벨업'할 수 있게 되는데── 전직 퀘스트를 클리어하고 그림자 병사를 부릴 수 있는 '그림자 군주'가 된 성진우의 앞에 다음 시련으로서 나타난 것은 상급 던전으로 이어지는 레드 게이트였다──",2024-11-26,288.375,6.8,"액션, 모험, 판타지, 애니메이션",
movie,ธี่หยด 2,데스 위스퍼러 2,여동생을 잃은 남자. 3년이 흐른 후에도 식지 않는 복수심으로 여동생을 죽인 어둠의 영혼을 집요하게 쫓는다.,2024-10-10,463.365,7.025,"공포, 스릴러, 액션","Netflix, Netflix basic with Ads"
movie,Dog Man,도그맨,"""반쪽은 개, 반쪽은 인간, 그야말로 영웅의 탄생!"" 한 경찰견과 그의 파트너인 경찰관이 함께 부상당한 후, 기적 같은 수술로 하나가 되어 '도그맨'이 탄생한다. 이제 도그맨은 그의 새로운 정체성을 받아들이며, 도시를 지키기 위해 애쓴다. 하지만 도시를 위협하는 악당, 페티 더 캣과의 싸움에서 도그맨의 진정한 힘이 시험받게 되는데...",2025-01-24,504.6,7.8,"가족, 애니메이션, 코미디, 액션",
movie,Star Trek: Section 31,스타 트렉: 섹션 31,"""그녀가 돌아왔다, 은밀하고 강렬한 임무를 위해""  거울 우주에서 온 필리파 조지우 황제는 스타플릿의 비밀 조직인 섹션 31에 합류하여 연합을 위협하는 어둠 속의 적들과 맞서게 된다. 그녀는 과거의 죄악과 현재의 임무 사이에서 갈등하며, 새로운 팀원들과 함께 은밀한 작전을 수행한다. 그러나 임무가 진행될수록 예상치 못한 진실들이 드러나고, 그녀는 자신의 신념과 충돌하는 선택의 기로에 서게 되는데...",2025-01-15,257.463,4.8,"SF, 모험, 액션, 드라마, TV 영화",
movie,The Brutalist,브루탈리스트,"전쟁의 상흔을 뒤로하고 미국에 정착한 건축가 라즐로 토스. 미국 이민자의 냉혹한 현실 속에 전쟁의 트라우마를 견뎌내던 어느 날. 라즐로의 천재성을 알아본 부유한 사업가 해리슨이 기념비적인 건축물 설계를 제안한다. 하지만, 시대와 공간, 빛의 경계를 넘어 대담하고 혁신적인 그의 건축 설계는 사람들의 공감을 얻지 못하고 반대에 부딪히게 된다. 후원자 해리슨의 감시와 압박, 주변의 비난이 거세질수록 오히려 더 자신의 설계에 집착하던 라즐로. 혁신적인 브루탈리즘 건축에 자신을 투영하던 라즐로는 결국 공사가 중단될 위기에 처하는데...",2024-12-20,424.136,7.0,드라마,
movie,Piglet,Piglet,,2025-01-25,247.987,5.8,공포,
movie,Werewolves,웨어울브즈,"초달(supermoon)의 빛이 잠들어 있던 유전자를 활성화시키면서 인간들을 피에 굶주린 늑대인간으로 변하게 하고, 약 10억 명이 사망한 지 1년이 지났다. 그러나 초달이 다시 떠오르며 그 악몽이 되살아난다. 두 명의 과학자가 돌연변이를 막으려 하지만 실패하고, 달빛에 노출된 사람들은 다시 야생의 늑대인간으로 변한다. 거리에는 혼란이 휩싸이고, 과학자들은 맹수로 변한 존재들에게 포위된 가족의 집으로 향하기 위해 고군분투한다.",2024-12-04,242.524,6.204,"액션, 공포, 스릴러",
movie,Red One,레드 원,"크리스마스 D-1, 철통같은 보안을 뚫고 코드명 '레드 원' 산타클로스가 납치되고 크리스마스가 사라질 위기에 처했다! '레드 원'을 찾기 위해 사령관 '칼럼 드리프트'는 산타클로스 따위는 없다고 믿는 현상금 사냥꾼 '잭 오말리'와 협력하기로 한다. 시작부터 삐그덕 거리는 이들 앞에 크리스마스의 존재를 위협하는 위험천만한 적들이 나타나는데…",2024-10-31,236.284,7.078,"액션, 판타지, 코미디",Amazon Prime Video
movie,Deadpool & Wolverine,데드풀과 울버린,"히어로 생활에서 은퇴한 후, 평범한 중고차 딜러로 살아가던 ‘데드풀’이 예상치 못한 거대한 위기를 맞아 모든 면에서 상극인 ‘울버린’을 찾아가게 되며 펼쳐지는 도파민 폭발 액션 블록버스터.",2024-07-24,231.577,7.6,"액션, 코미디, SF",Disney Plus
movie,The Substance,서브스턴스,"한때 아카데미상을 수상하고 명예의 거리까지 입성한 대스타였지만 지금은 TV 에어로빅 쇼 진행자로 전락한 엘리자베스. 50살이 되던 날, 프로듀서에게서 어리고 섹시하지 않다는 이유로 해고를 당한다. 돌아가던 길에 차 사고로 병원에 실려간 엘리자베스는 매력적인 남성 간호사로부터 서브스턴스라는 약물을 권유받는다. 한 번의 주사로 젊고 아름답고 완벽한 수가 탄생하는데...",2024-09-07,227.508,7.1,"공포, SF",
movie,Bridget Jones: Mad About the Boy,브리짓 존스의 일기: 매드 어바웃 더 보이,"50대가 된 브리짓은 수단에서 인도주의적 임무를 수행하던 마크(콜린 퍼스)가 사망한 후 미망인이 된다. 어린 두 자녀를 혼자 키우는 브리짓은 혼란스러운 감정 상태에 놓이지만, 친구들과 옛 연인(휴 그랜트)의 도움으로 다시 안정을 찾아가는데...",2025-02-12,219.23,6.849,"코미디, 드라마, 로맨스",
movie,Despicable Me 4,슈퍼배드 4,"슈트-업 하고 악당 전담 처리반 AVL이 된 에이전트 미니언즈와 미니언즈 만큼 귀여운 그루 주니어가 태어나면서 더욱 완벽해진 그루 패밀리. 이들 앞에 과거 그루의 고등학교 동창이자 그에게 체포당했던 빌런 맥심이 등장하고, 오직 그루를 향한 복수심에 불타올라 탈옥까지 감행한 맥심은 그루 패밀리의 뒤를 바짝 추격하며 위협을 가하기 시작하는데... 과연 에이전트 미니언즈와 그루 패밀리는 맥심을 막아낼 수 있을까?",2024-06-20,211.583,7.1,"애니메이션, 가족, 코미디, SF",
movie,The Wild Robot,와일드 로봇,"우연한 사고로 거대한 야생에 불시착한 로봇 로즈는 주변 동물들의 행동을 배우며 낯선 환경 속에 적응해 가던 중, 사고로 세상에 홀로 남겨진 아기 기러기 브라이트빌의 보호자가 된다. 로즈는 입력되어 있지 않은 새로운 역할과 관계에 낯선 감정을 마주하고 겨울이 오기 전에 남쪽으로 떠나야 하는 브라이트빌을 위해 동물들의 도움을 받아 이주를 위한 생존 기술을 가르쳐준다. 그러나 선천적으로 몸집이 작은 브라이트빌은 짧은 비행도 힘겨워 하는데...",2024-09-12,209.728,8.341,"애니메이션, SF, 가족",
movie,El llanto,El llanto,,2024-10-25,204.768,6.25,공포,
movie,Jugaremos en el bosque,Jugaremos en el bosque,,2024-05-01,203.009,7.4,공포,
movie,Rüzgara Bırak,Rüzgara Bırak,,2025-01-09,202.193,5.6,로맨스,
movie,Culpa tuya,네 잘못이야,전 세계적인 히트작 '나의 잘못'의 속편. 노아와 닉의 사랑은 둘을 떼어놓으려는 부모님의 노력에도 불구하고 흔들림이 없어 보인다. 하지만 닉의 직업과 노아의 대학 진학은 두 사람의 관계와 레이스테르 가족의 근간을 흔들 새로운 관계로 그들의 삶을 안내한다. 많은 사람이 두 사람 사이를 파괴하려는 가운데 이 둘은 결국 행복을 맞이할 수 있을까?,2024-12-26,200.65,7.134,"로맨스, 드라마",Amazon Prime Video
movie,The Witcher: Sirens of the Deep,위쳐: 세이렌의 바다,"심해에서 정체불명의 바다 생물이 뱃사람들을 공격하는 사건이 벌어진다. 이제 육지와 바다 사이의 전쟁을 막을 수 있는 이는 단 한 사람, 최고의 위쳐인 리비아의 게롤트뿐이다.",2025-02-10,199.28,7.1,"애니메이션, 판타지, 액션","Netflix, Netflix basic with Ads"
movie,Absolution,앱솔루션,,2024-10-31,197.178,5.9,"액션, 범죄, 스릴러",
movie,Anora,아노라,"뉴욕의 스트리퍼 아노라는 자신의 바를 찾은 철부지 러시아 재벌2세 이반을 만나게 되고 충동적인 사랑을 믿고 허황된 신분 상승을 꿈꾸며 결혼식을 올리게 된다. 그러나 신데렐라 스토리를 꿈꿨던 것도 잠시, 한 번도 본 적 없는 이반의 부모님이 아들의 결혼 사실을 알게 되자 길길이 날뛰며 미국에 있는 하수인 3인방에게 둘을 잡아 혼인무효소송을 진행할 것을 지시한다. 하수인 3인이 들이닥치자 부모님이 무서워 겁에 질린 남편 이반은 아노라를 버린채 홀로 도망친다. 이반을 찾아 결혼 생활을 유지하고 싶은 아노라와 어떻게든 이반을 찾아 혼인무효소송을 시켜야만 하는 하수인 3인방의 대환장 발악이 시작된다.",2024-10-14,191.365,7.0,"드라마, 코미디, 로맨스",
movie,Pídeme lo que quieras,Pídeme lo que quieras,,2024-11-29,189.461,6.106,"로맨스, 드라마",
movie,Aftermath,Aftermath,,2024-09-27,186.671,6.5,"액션, 스릴러",
movie,Dirty Angels,더티 엔젤스,"2021년 미국의 아프가니스탄 철군 당시, 의료 구호 팀으로 위장한 여성 군인들이 납치된 십대 소년·소녀들을 구출하기 위해 다시 투입된다. 이들은 ISIS와 탈레반 사이에 갇힌 피해자들을 구출하는 임무를 맡는다.",2024-12-11,184.276,6.223,"액션, 드라마, 스릴러, 전쟁",
movie,Inside Out 2,인사이드 아웃 2,"13살이 된 라일리의 행복을 위해 매일 바쁘게 머릿속 감정 컨트롤 본부를 운영하는 ‘기쁨’, ‘슬픔’, ‘버럭’, ‘까칠’, ‘소심’. 그러던 어느 날, 낯선 감정인 ‘불안’, ‘당황’, ‘따분’, ‘부럽’이가 본부에 등장하고, 언제나 최악의 상황을 대비하며 제멋대로인 ‘불안’이와 기존 감정들은 계속 충돌한다. 결국 새로운 감정들에 의해 본부에서 쫓겨나게 된 기존 감정들은 다시 본부로 돌아가기 위해 위험천만한 모험을 시작하는데…",2024-06-11,183.754,7.56,"애니메이션, 모험, 코미디, 가족",Disney Plus
movie,Belyas,Belyas,,2025-02-07,182.845,5.5,드라마,
movie,哪吒之魔童闹海,나타지마동요해,"""그가 돌아왔다, 더욱 강력해진 영웅의 전설"" 천계의 시련 이후, 혼은 유지했으나 육신이 소멸 위기에 처한 나타와 오병. 태을진인은 일곱 빛깔의 보련으로 그들의 육신을 재건하려 하지만, 과정은 순탄치 않다. 신공표는 심해에 갇혀 있던 사룡왕을 해방시키고, 동해의 용왕 오광은 ""내가 전쟁에 나서면, 천당관은 남김없이 파괴될 것이다""라고 선언한다. 나타는 천당관을 지키기 위해 사해의 용왕들과 맞서 싸우게 되는데...",2025-01-29,182.471,7.85,"애니메이션, 판타지, 모험",
movie,Nr. 24,Nr. 24,,2024-10-30,182.091,7.0,"전쟁, 역사, 드라마",
movie,Wicked,위키드,"자신의 진정한 힘을 아직 발견하지 못한 엘파바와 자신의 진정한 본성을 발견하지 못한 글린다, 전혀 다른 두 인물이 우정을 쌓아가며 맞닥뜨리는 예상치 못한 위기와 모험을 그린 이야기",2024-11-20,170.662,6.895,"드라마, 로맨스, 판타지",
movie,Memoir of a Snail,달팽이의 회고록,쌍둥이 동생 길버트와 함께 태어나 입양된 그레이스는 옷장 속 달팽이로 위로를 삼는다.,2024-10-17,196.707,7.6,"애니메이션, 드라마, 코미디",
movie,Apocalipsis Z: el principio del fin,아포칼립스 Z: 종말의 시작,광견병과 유사한 질병이 지구 전역에 퍼져 사람들이 공격적인 생명체로 변한다. 마넬은 고양이와 함께 집에 숨어서 재치를 발휘해 살아남는다. 곧 둘은 식량을 구하고 육지와 바다의 안전한 곳을 찾기 위해 떠나야 한다.,2024-10-04,168.707,6.733,"드라마, 액션, 공포",Amazon Prime Video
movie,Bad Boys: Ride or Die,나쁜 녀석들: 라이드 오어 다이,마이애미 강력반 최고의 콤비 마이크와 마커스. 가족 같은 하워드 반장이 사망 전 마약 카르텔 조직의 비리에 연루되었다는 뉴스 속보를 접하게 된다. 하지만 아무도 믿지 말라는 하워드 반장의 비밀 메시지를 받은 마이크와 마커스 형사는 사건의 진실을 밝히기 위해 위험한 수사를 시작한다. 서서히 드러나는 거대한 음모와 마주하게 된 나쁜 녀석들. 그러나 이들 역시 함정에 빠져 사건의 용의자로 지목되며 동료 경찰들은 물론 마약 카르텔 조직에게도 쫓기는 신세가 되고 마는데…,2024-06-05,167.815,7.39,"액션, 코미디, 범죄, 스릴러, 모험","Netflix, Netflix basic with Ads"
movie,キングダム 大将軍の帰還,킹덤 4: 대장군의 귀환,"때는 춘추전국시대, 천하대장군을 꿈꾸는 소년 ‘신’과 그가 이끄는 비신대는 조나라와의 전투에서 열세 끝에 승리하지만 그 기쁨도 잠시 자신을 무신이라 칭하는 조나라의 총대장 ‘방난’의 등장으로 치명상을 입고 위기에 처한다. 한편, 이 전황을 지켜보던 진나라의 총대장이자 전설의 대장군 ‘왕기’는 조나라의 계책을 눈치채고 9년 전부터 이어져온 악연 ‘방난’과의 숙명의 대결을 준비하는데…",2024-07-12,166.847,6.905,"액션, 모험",
movie,The Most Beautiful Girl in the World,세상에서 가장 아름다운 여자,아버지의 마지막 소원은 아들이 세상에서 가장 아름다운 여자와 결혼하는 것. 바람둥이로 살던 아들은 아버지의 유산을 상속받기 위해 연애 프로그램을 직접 연출하기로 한다.,2025-02-13,163.484,6.7,"코미디, 드라마, 로맨스","Netflix, Netflix basic with Ads"
movie,Alien: Romulus,에이리언: 로물루스,"2142년, 부모 세대가 맞닥뜨렸던 암울한 미래를 피하려는 청년들이 더 나은 삶을 찾기 위해 식민지를 떠날 계획을 세운다. 하지만 버려진 우주 기지 로물루스에 도착한 이들은 악몽과도 같은 에이리언의 무자비한 공격에 쫓기기 시작한다. 그 누구도 그들의 절규를 들을 수 없는 우주 한가운데, 생존을 위한 치열한 사투를 벌여야 하는데...",2024-08-13,156.902,7.2,"공포, SF",Disney Plus
movie,धूम धाम,둠 담,도무지 어울릴 것 같지 않은 커플의 결혼식 날 밤. 예상치 못한 사건이 발생하면서 두 사람은 깡패들과 경찰들을 피해 '찰리'라는 미스터리한 인물을 찾아야 하는 혼돈의 추격전에 휘말린다.,2025-02-13,360.436,6.7,"코미디, 로맨스, 액션","Netflix, Netflix basic with Ads"
movie,Elyas,Elyas,,2024-07-03,154.463,6.2,"액션, 스릴러",
movie,Babygirl,베이비걸,"뉴욕의 성공한 테크 기업 CEO 로미는 완벽해 보이는 삶 뒤에 감춰진 공허함을 느끼고 있다. 어느 날, 젊은 인턴 새뮤얼과의 우연한 만남을 통해 그녀의 억눌린 욕망이 깨어나고, 두 사람은 위험한 관계에 빠져든다. 시간이 지날수록 이들의 관계는 예상치 못한 방향으로 흘러가며, 로미는 자신의 모든 것을 걸고 선택의 기로에 서게 되는데...",2024-12-25,154.291,5.8,드라마,
movie,Nosferatu,노스페라투,오랜 시간 통제할 수 없는 강력한 힘에 이끌려 악몽과 괴로움에 시달려 온 엘렌. 남편 토마스가 거액의 부동산 계약을 위해 머나먼 올록성으로 떠난 후부터 엘렌은 불안 증세가 심해지고 알 수 없는 말을 되뇌인다. 기이한 현상들이 일어나며 마을로 점점 짙게 번져오는 그림자. 영원한 어둠 속에서 깨어난 올록 백작이 찾아오는데…,2024-12-25,255.581,6.677,"공포, 판타지",
movie,River of Blood,River of Blood,,2024-08-29,147.141,6.517,"공포, 스릴러",
movie,Kärlek fårever,러브 포에버,아름다운 고틀란드섬에서 결혼식을 올리기로 한 스톡홀름 커플. 그런데 가족들이 고집한 전통 때문에 일생일대의 중요한 날이 순식간에 대참사의 날로 기억될 판이다.,2025-02-13,146.446,4.4,"로맨스, 코미디, 드라마","Netflix, Netflix basic with Ads"
movie,Transformers One,트랜스포머 ONE,"사이버트론 행성의 지하 광산에서 일하는 변신 못 하는 하급 로봇 오라이온 팩스와 D-16. 한 번도 가보지 못한 지상 세계를 꿈꾸던 둘은 쾌활한 수다쟁이 B-127, 카리스마 넘치는 엘리타 원과 함께 출입이 금지된 지상에 도달한다. 지상에서 잠들어 있던 알파 트라이온을 만난 넷은 그의 도움으로 잠재되어 있던 변신 능력을 얻게 된다. 막강한 힘과 변신 능력으로 자유를 느낀 것도 잠시, 자신들의 행성을 지배하고 있는 거대한 배후의 존재를 알게 되며 모든 것을 바꿀 전쟁을 시작하는데…",2024-09-11,143.317,8.101,"애니메이션, SF, 모험, 가족",
movie,"Miraculous World : Londres, la course contre le temps",미라클 월드 런던: 시간의 끝에서,"끔찍한 운명을 맞이할 미래를 구하고자, 마리네뜨는 크로노버그가 되어 버닉스와 함께 시간을 여행하는 의문의 적을 물리치려 한다. 이 새로운 슈퍼 악당은 누구이며, 왜 이들은 마리네뜨의 은밀한 슈퍼히어로 정체성을 폭로하는 데 집착하는 걸까? 새로운 상대를 물리치고 레이디버그와 시간이 끝나는 걸 막는 것만이 마리네뜨의 유일한 희망이다!",2024-11-14,138.044,7.285,"애니메이션, 모험, 액션, 판타지",Disney Plus
movie,Heretic,헤러틱,"콜로라도의 작은 마을을 방문한 두 명의 젊은 몰몬교 여성 선교사들이 주민에게 복음을 전파하기 위해 집집마다 방문 중에 매력적인 리드 씨라는 인물을 만나게 되고, 그의 집에서 예상치 못한 위험에 휩싸이게 된다.",2024-10-31,136.205,7.176,"공포, 스릴러",
movie,Azrael,아즈라엘,"종말이 일어난 지 여러 해가 지난 후, 말을 못 하는 광신도들로 구성된 종교 단체에서 탈출한 젊은 여성 아즈라엘을 추적하는 이야기. 무자비한 지도자들에게 붙잡혀 감금당한 아즈라엘은 주변 황야 깊은 곳에 숨어있는 고대의 악마를 달래기 위한 제물로 바쳐질 예정이었다. 그러나 그녀는 살기 위해 어떤 것도 주저하지 않는다. 그녀의 불타는 복수와 탈출을 위한 맹렬한 질주는 극적으로 치닫는다.",2024-09-27,131.937,6.015,"액션, 공포, 스릴러",
movie,Smile 2,스마일 2,월드투어를 앞두고 자신의 눈 앞에서 기괴한 미소와 함께 끔찍한 죽음을 맞은 친구를 목격한 팝스타 ‘스카이’. 그 날 이후 공연 리허설과 팬 미팅 행사 등 그녀의 삶 곳곳에서 끔찍한 일들이 잇따라 발생한다. 화려한 스타의 삶을 뒤덮은 공포에서 벗어나기 위해 몸부림치던 ‘스카이’는 자신이 죽어야만 전염처럼 번지는 저주가 끝난다는 사실을 듣게 되는데…,2024-10-16,130.999,6.6,"공포, 미스터리",
